year,month,all_sectors,commercial,industrial,other,residential,transportation,prcp,snow,snwd,tmax,tmin,nmonth
2016,Nov,816,637,13,NA,141,25,0.0315,0,0,61.05,37.03333333333333,11
2016,Dec,889,659,14,NA,193,23,0.10822580645161291,0,0,47.95161290322581,30.870967741935484,12
2017,Jan,926,666,13,NA,222,25,0.09193548387096774,0.019672131147540985,0.01639344262295082,47.016129032258064,33.193548387096776,1
2017,Feb,801,582,12,NA,180,26,0.03363636363636364,0,0,56.49090909090909,33.32727272727273,2
2017,Mar,869,644,14,NA,186,25,0.11096774193548388,0.08727272727272728,0.20363636363636364,54.75409836065574,34.36065573770492,3
2017,Apr,802,596,15,NA,165,26,0.12233333333333334,0,0,71.4,50.9,4
2017,May,850,655,15,NA,154,27,0.20209677419354838,0,0,73.03225806451613,53.935483870967744,5
2017,Jun,993,726,16,NA,222,29,0.04683333333333333,0,0,85.48333333333333,64.16666666666667,6
2017,Jul,1113,770,20,NA,288,35,0.2796774193548387,0,0,89.45161290322581,70.27868852459017,7
2017,Aug,1034,751,13,NA,243,27,0.1519672131147541,0,0,84.24193548387096,66.12903225806451,8
2017,Sep,918,672,15,NA,202,29,0.07016949152542373,0,0,79.91666666666667,60.21666666666667,9
2017,Oct,880,666,16,NA,170,28,0.08983333333333333,0,0,72.98333333333333,51.86440677966102,10
2017,Nov,823,605,15,NA,173,30,0.07200000000000001,0,0,57.11666666666667,36.9,11
2017,Dec,909,674,17,NA,189,28,0.026129032258064518,0.07704918032786885,0.1064516129032258,45.24193548387097,28.258064516129032,12
2018,Jan,993,698,15,NA,259,21,0.03098360655737705,0.06166666666666667,0.11333333333333333,43.05,23.366666666666667,1
2018,Feb,828,587,15,NA,198,28,0.16537037037037036,0.049090909090909095,0.022222222222222223,51.870370370370374,34,2
2018,Mar,952,703,16,NA,206,27,0.07306451612903225,0.15161290322580645,0.13064516129032258,50.28333333333333,32.096774193548384,3
2018,Apr,825,607,15,NA,176,27,0.11933333333333333,0,0,63.31666666666667,42.05,4
2018,May,883,673,16,NA,167,27,0.2701612903225806,0,0,81.2542372881356,61,5
2018,Jun,962,694,18,NA,222,28,0.19383333333333333,0,0,83.21666666666667,64.35,6
2018,Jul,1109,794,20,NA,263,32,0.4062903225806452,0,0,88.58064516129032,69.38709677419355,7
2018,Aug,1096,783,18,NA,266,29,0.14557377049180328,0,0,88.29032258064517,70.54838709677419,8
2018,Sep,988,709,12,NA,241,27,0.3395,0,0,81.32203389830508,67.45,9
2018,Oct,924,682,19,NA,193,30,0.09661290322580646,0,0,68.8360655737705,51.38709677419355,10
2018,Nov,897,671,7,NA,188,31,0.2698333333333333,0.029310344827586206,0,51.91525423728814,36.666666666666664,11
2018,Dec,902,636,22,NA,214,30,0.19870967741935483,0,0,48.95161290322581,32.16129032258065,12
2019,Jan,952,684,12,NA,230,26,0.10868852459016394,0.30483870967741933,0.781967213114754,43.61290322580645,26.661290322580644,1
2019,Feb,827,568,16,NA,216,26,0.12037037037037038,0.16727272727272727,0.11454545454545455,47.148148148148145,29.72222222222222,2
2019,Mar,898,644,16,NA,212,25,0.13655737704918033,0.05737704918032787,0.03278688524590164,53.333333333333336,33.36666666666667,3
2019,Apr,783,588,16,NA,156,23,0.07683333333333334,0,0,70.36666666666666,48.95,4
2019,May,920,690,20,NA,181,29,0.17774193548387096,0,0,78.12903225806451,58.41935483870968,5
2019,Jun,940,684,18,NA,210,28,0.12016666666666667,0,0,85.68333333333334,65.25,6
2019,Jul,1134,780,17,NA,300,37,0.14096774193548386,0,0,91.96774193548387,71.09677419354838,7
2019,Aug,1084,774,13,NA,267,30,0.08758064516129033,0,0,88.87096774193549,68.61290322580645,8
